name,online_order,book_table,rating,votes,approx_cost,rest_type,location,type
Jalsa,Yes,Yes,4.1,775,800,Casual Dining,Banashankari,Buffet
Spice Elephant,Yes,No,4.1,787,800,Casual Dining,Banashankari,Buffet
San Churro Cafe,Yes,No,3.8,918,800,"Cafe, Casual Dining",Banashankari,Buffet
Addhuri Udupi Bhojana,No,No,3.7,88,300,Quick Bites,Banashankari,Buffet
Grand Village,No,No,3.8,166,600,Casual Dining,Basavanagudi,Buffet
Timepass Dinner,Yes,No,3.8,286,600,Casual Dining,Basavanagudi,Buffet
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,800,Casual Dining,Mysore Road,Buffet
Onesta,Yes,Yes,4.6,2556,600,"Casual Dining, Cafe",Banashankari,Cafes
Smacznego,Yes,No,4.2,504,550,Cafe,Banashankari,Cafes
CafDown The Alley,Yes,No,4.1,402,500,Cafe,Banashankari,Cafes
Cafe Shuffle,Yes,Yes,4.2,150,600,Cafe,Banashankari,Cafes
The Coffee Shack,Yes,Yes,4.2,164,500,Cafe,Banashankari,Cafes
Caf-Eleven,No,No,4,424,450,Cafe,Banashankari,Cafes
San Churro Cafe,Yes,No,3.8,918,800,"Cafe, Casual Dining",Banashankari,Cafes
Cafe Vivacity,Yes,No,3.8,90,650,Cafe,Banashankari,Cafes
Catch-up-ino,Yes,No,3.9,133,800,Cafe,Banashankari,Cafes
Kirthi's Biryani,Yes,No,3.8,144,700,Cafe,Banashankari,Cafes
T3H Cafe,No,No,3.9,93,300,Cafe,Banashankari,Cafes
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,400,Cafe,Banashankari,Cafes
The Vintage Cafe,Yes,No,3,62,400,Cafe,Banashankari,Cafes
Woodee Pizza,Yes,No,3.7,180,500,Cafe,Banashankari,Cafes
Cafe Coffee Day,No,No,3.6,28,900,Cafe,Banashankari,Cafes
My Tea House,Yes,No,3.6,62,600,"Quick Bites, Cafe",Banashankari,Cafes
Hide Out Cafe,No,No,3.7,31,300,Cafe,Banashankari,Cafes
CAFE NOVA,No,No,3.2,11,600,Cafe,Banashankari,Cafes
Coffee Tindi,Yes,No,3.8,75,200,"Cafe, Quick Bites",Banashankari,Cafes
Sea Green Cafe,No,No,3.3,4,500,Cafe,Banashankari,Cafes
Cuppa,No,No,3.3,23,550,Cafe,Banashankari,Cafes
Srinathji's Cafe,No,No,3.8,148,550,"Casual Dining, Cafe",Basavanagudi,Cafes
Redberrys,Yes,No,4,219,600,Cafe,Basavanagudi,Cafes
Sweet Truth,Yes,No,3.9,35,500,Delivery,Banashankari,Delivery
Ovenstory Pizza,Yes,No,3.9,172,750,Delivery,Banashankari,Delivery
Behrouz Biryani,Yes,No,3.9,230,650,Delivery,Banashankari,Delivery
Fast And Fresh,Yes,No,2.8,91,400,Quick Bites,Banashankari,Delivery
Szechuan Dragon,Yes,No,4.2,1647,600,Casual Dining,Banashankari,Delivery
Maruthi Davangere Benne Dosa,Yes,No,4,17,150,Quick Bites,Banashankari,Delivery
Chaatimes,Yes,No,3.8,133,200,Quick Bites,Basavanagudi,Delivery
Havyaka Mess,No,No,3.9,28,300,Mess,Banashankari,Delivery
McDonald's,Yes,No,3.9,286,500,Quick Bites,Banashankari,Delivery
Domino's Pizza,Yes,No,3.9,540,800,Quick Bites,Banashankari,Delivery
Hotboxit,No,No,3.8,36,400,Delivery,Banashankari,Delivery
Kitchen Garden,Yes,No,3.6,244,300,Quick Bites,Kumaraswamy Layout,Delivery
Recipe,Yes,No,4,804,450,Casual Dining,Kumaraswamy Layout,Delivery
Beijing Bites,Yes,No,3.7,679,850,Casual Dining,Rajarajeshwari Nagar,Delivery
Tasty Bytes,Yes,No,3.1,245,300,Quick Bites,Kumaraswamy Layout,Delivery
Petoo,No,No,3.7,21,450,Quick Bites,Banashankari,Delivery
Shree Cool Point,Yes,No,4.1,28,150,Quick Bites,Vijay Nagar,Delivery
Corner House Ice Cream,No,No,4.3,345,400,Dessert Parlor,Banashankari,Delivery
Biryanis And More,Yes,No,4,618,750,Casual Dining,Jayanagar,Delivery
Roving Feast,No,No,4,1047,450,Quick Bites,Banashankari,Delivery
FreshMenu,Yes,No,3.9,627,450,Delivery,Banashankari,Delivery
Banashankari Donne Biriyani,Yes,No,3.8,104,300,Quick Bites,Banashankari,Delivery
Five Star Chicken,No,No,3.6,55,200,Quick Bites,Banashankari,Delivery
XO Belgian Waffle,Yes,No,3.7,17,400,Dessert Parlor,Banashankari,Delivery
Goa 0 Km,Yes,Yes,3.6,163,800,Casual Dining,Kumaraswamy Layout,Delivery
Chinese Kitchen,Yes,No,3.8,58,150,Quick Bites,Basavanagudi,Delivery
1947,No,Yes,4,808,850,Casual Dining,Banashankari,Delivery
Cake of the Day,No,No,3.7,78,150,"Bakery, Dessert Parlor",Banashankari,Delivery
Kabab Magic,Yes,No,4.1,1720,400,Quick Bites,Basavanagudi,Delivery
Namma Brahmin's Idli,Yes,No,3.6,34,100,Quick Bites,Jayanagar,Delivery
Gustoes Beer House,No,No,4.1,868,1200,Pub,Banashankari,Delivery
Sugar Rush,No,No,3.8,39,300,Bakery,Banashankari,Delivery
